"Timestamp","How old are you?","What is your nationality (nationalities)?","Where do you currently reside (city and country)?","What is your occupation?","How often do you travel per year (by airline, train, bus, etc.)?","What type of luggage do you use when travelling? (multiple answers possible)","Do you use bulky luggage and if so, for what items?","Do you plan to buy a new piece of luggage in the next year?","If yes, what type of luggage and why?","Have you ever had to repack your luggage because you exceeded the weight limit?","Have you ever left behind your luggage somewhere when travelling?","Has your luggage ever been misplaced by an airline?","Do you own any smart luggage?","If yes, which smart luggage do you own and why did you buy it? ","If no, what currently prevents you from purchasing a smart luggage?","Do you own and use an AirTag or similar tracking device when travelling?","What would enhance your travel experience when travelling with luggage (e.g. tracking device, integrated scale)?","What are your biggest concern(s)/fear(s) when travelling with luggage?","How much would you be willing to pay for such a solution?"
"2023/11/12 7:06:55 pm CET","21","Belgian ","Dublin, Ireland ","Student ","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre);Handbag;Laptop bag","No, I don’t use bulky luggage when traveling ","No","/","Yes","Yes","No","No","/","The pieces of luggage I own still have a lot of life in them and I therefore don’t want to spend the money on a new piece of smart luggage ","Yes","Tracking device, smart lock, …","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft;Damaged luggage;Overweight fees;Luggage mix up;Delayed luggage","31-45"
"2023/11/12 7:08:55 pm CET","22","german","Dublin, Ireland","Student ","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (50 litre and above);Backpack (below 50 litre);Handbag","","No","","Yes","Yes","Yes","No","","Price, Design, weight of luggage","Yes","More comfort, easy to use suitcases, digital solutions, up-to-Date information, news, all in one travel solution,","Loosing your luggage;Damaged luggage;Overweight fees;Luggage mix up;Delayed luggage","61-75"
"2023/11/12 7:09:26 pm CET","25","German, Swiss","Ireland","Student","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (50 litre and above);Backpack (below 50 litre);Duffel bag;Laptop bag","No","No","","Yes","Yes","Yes","No","","Currently no smart hiking backpacks ","No","Having to worry less about my luggage","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft;Overweight fees;Luggage mix up","46-60"
"2023/11/12 7:10:46 pm CET","22","German","Dublin, Ireland","Student","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Handbag","","No","","Yes","No","No","No","","Only one feature per solution and too expensive for only one feature","No","Tracking device, scale on the luggage, name tag","Loosing your luggage;Misplaced luggage (by the carrier);Overweight fees;Delayed luggage","46-60"
"2023/11/12 7:22:38 pm CET","61","German","Kirchentellinsfurt","Civilengineer","1-3","Suitcase (check-in luggage);Laptop bag","No","No","","No","No","Yes","No","","No time","No","Integrales scale","Damaged luggage;Overweight fees","31-45"
"2023/11/12 7:39:02 pm CET","22","German","Weinstadt, Germany ","Student ","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre);Duffel bag/Weekender","Snowboard ","No","","No","Yes","Yes","No","","I have Apple AirTags","Yes","An integrated scale ","Damaged luggage;Overweight fees;Delayed luggage","46-60"
"2023/11/12 7:48:23 pm CET","22","German","Lancaster, UK","Student","7-9","Backpack (below 50 litre)","For long vacation, I usually use a middle seize suitcase. For less than 2 weeks I like to use a backpack. ","No","","Yes","No","No","No","","Never thought about it. I am happy with the stuff I own right now (1 medium, 1 large suitcase, 1 30l backpack, 1 55l backpack)","No","Maybe a tracking device... I used to put a spare old phone in my backpack to locate it in case of emergency. ","Luggage theft;Damaged luggage;Luggage mix up","46-60"
"2023/11/12 8:53:27 pm CET","59","German","Tübingen, Germany","CEO","1-3","Suitcase (carry-on);Duffel bag/Weekender;Laptop bag","","Yes","Suitcase (checkin luggage))","No","No","No","No","","Yet no time and no offer","No","Tracking device , integrated scale, much safety","Misplaced luggage (by the carrier);Damaged luggage","31-45"
"2023/11/12 9:06:36 pm CET","60","German","Kirchentellinsfurt, Germany","Publishing service provider","1-3","Backpack (below 50 litre);Duffel bag/Weekender;Handbag","","No","","Yes","No","No","No","","Right now not necessary. I would purchase a smart luggage as soon as needed.","No","A tracking device sounds useful.","Luggage theft","31-45"
"2023/11/12 9:06:39 pm CET","22","German","Dublin, Ireland","Student","1-3","Suitcase (carry-on);Backpack (below 50 litre)","","No","","Yes","No","No","No","","Never thought of it","Yes","Tracking, Scale, Lock","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft;Damaged luggage","1-15"
"2023/11/12 9:19:58 pm CET","24","GERMAN","BERLIN/GERMANY","Student","More than 15 times","Backpack (below 50 litre);Duffel bag/Weekender","no","Yes","I love buying bags so I guess I'll buy something at some point ","No","No","No","No","","Self-worth","No","I am perfectly happy with a bag that does not require firmware updates","Loosing your luggage;Luggage theft","I would not buy such a solution"
"2023/11/12 10:31:08 pm CET","19","belgian ","bruxelles belgium","student ","4-6","Suitcase (carry-on);Suitcase (check-in luggage)","","No","","Yes","No","Yes","No","","","No","integrated scale","Loosing your luggage;Luggage theft;Delayed luggage","46-60"
"2023/11/12 10:31:32 pm CET","21","italian ","Maastricht, The Netherlands","Student","More than 15 times","Suitcase (check-in luggage);Backpack (below 50 litre)","Clothes and personal belongings ","No","","Yes","No","Yes","No","","No need for it, did not know about it ","No","tracking device, scale","Loosing your luggage;Luggage theft;Luggage mix up","31-45"
